Category,Description,Standard,Details,Qty,Notes
Frame,null,null,null,null,null
Fasteners,null,null,null,null,null
Motion,null,null,null,null,null
Electronics,null,null,null,null,null
Filament,null,null,null,null,null
Printed Parts,null,null,null,null,null
Wiring,null,null,null,null,null
Panels,null,null,null,null,null
Buildplate,null,null,null,null,null
Misc,null,null,null,null,null
